weight,horsepower,mpg
2300.0,96.0,25.5
1945.0,70.0,33.5
3880.0,145.0,17.5
4060.0,110.0,17.0
4140.0,145.0,15.5
4295.0,130.0,15.0
3520.0,110.0,17.5
3425.0,105.0,20.5
3630.0,100.0,19.0
3525.0,98.0,18.5
4220.0,180.0,16.0
4165.0,170.0,15.5
4325.0,190.0,15.5
4335.0,149.0,16.0
1940.0,78.0,29.0
2740.0,88.0,24.5
2265.0,75.0,26.0
2755.0,89.0,25.5
2051.0,63.0,30.5
2075.0,83.0,33.5
1985.0,67.0,30.0
2190.0,78.0,30.5
2815.0,97.0,22.0
2600.0,110.0,21.5
2720.0,110.0,21.5
1985.0,48.0,43.1
1800.0,66.0,36.1
1985.0,52.0,32.8
2070.0,70.0,39.4
1800.0,60.0,36.1
3365.0,110.0,19.9
3735.0,140.0,19.4
3570.0,139.0,20.2
3535.0,105.0,19.2
3155.0,95.0,20.5
2965.0,85.0,20.2
2720.0,88.0,25.1
3430.0,100.0,20.5
3210.0,90.0,19.4
3380.0,105.0,20.6
3070.0,85.0,20.8
3620.0,110.0,18.6
3410.0,120.0,18.1
3425.0,145.0,19.2
3445.0,165.0,17.7
3205.0,139.0,18.1
4080.0,140.0,17.5
2155.0,68.0,30.0
2560.0,95.0,27.5
2300.0,97.0,27.2
2230.0,75.0,30.9
2515.0,95.0,21.1
2745.0,105.0,23.2
2855.0,85.0,23.8
2405.0,97.0,23.9
2830.0,103.0,20.3
3140.0,125.0,17.0
2795.0,115.0,21.6
3410.0,133.0,16.2
1990.0,71.0,31.5
2135.0,68.0,29.5
3245.0,115.0,21.5
2990.0,85.0,19.8
2890.0,88.0,22.3
3265.0,90.0,20.2
3360.0,110.0,20.6
3840.0,130.0,17.0
3725.0,129.0,17.6
3955.0,138.0,16.5
3830.0,135.0,18.2
4360.0,155.0,16.9
4054.0,142.0,15.5
3605.0,125.0,19.2
3940.0,150.0,18.5
1925.0,71.0,31.9
1975.0,65.0,34.1
1915.0,80.0,35.7
2670.0,80.0,27.4
3530.0,77.0,25.4
3900.0,125.0,23.0
3190.0,71.0,27.2
3420.0,90.0,23.9
2200.0,70.0,34.2
2150.0,70.0,34.5
2020.0,65.0,31.8
2130.0,69.0,37.3
2670.0,90.0,28.4
2595.0,115.0,28.8
2700.0,115.0,26.8
2556.0,90.0,33.5
2144.0,76.0,41.5
1968.0,60.0,38.1
2120.0,70.0,32.1
2019.0,65.0,37.2
2678.0,90.0,28.0
2870.0,88.0,26.4
3003.0,90.0,24.3
3381.0,90.0,19.1
2188.0,78.0,34.3
2711.0,90.0,29.8
2542.0,75.0,31.3
2434.0,92.0,37.0
2265.0,75.0,32.2
2110.0,65.0,46.6
2800.0,105.0,27.9
2110.0,65.0,40.8
2085.0,48.0,44.3
2335.0,48.0,43.4
2950.0,67.0,36.4
3250.0,67.0,30.0
1850.0,67.0,44.6
2145.0,67.0,33.8
1845.0,62.0,29.8
2910.0,132.0,32.7
2420.0,100.0,23.7
2500.0,88.0,35.0
2290.0,72.0,32.4
2490.0,84.0,27.2
2635.0,84.0,26.6
2620.0,92.0,25.8
2725.0,110.0,23.5
2385.0,84.0,30.0
1755.0,58.0,39.1
1875.0,64.0,39.0
1760.0,60.0,35.1
2065.0,67.0,32.3
1975.0,65.0,37.0
2050.0,62.0,37.7
1985.0,68.0,34.1
2215.0,63.0,34.7
2045.0,65.0,34.4
2380.0,65.0,29.9
2190.0,74.0,33.0
2210.0,75.0,33.7
2350.0,75.0,32.4
2615.0,100.0,32.9
2635.0,74.0,31.6
3230.0,80.0,28.1
3160.0,76.0,30.7
2900.0,116.0,25.4
2930.0,120.0,24.2
3415.0,110.0,22.4
3725.0,105.0,26.6
3060.0,88.0,20.2
3465.0,85.0,17.6
2605.0,88.0,28.0
2640.0,88.0,27.0
2395.0,88.0,34.0
2575.0,85.0,31.0
2525.0,84.0,29.0
2735.0,90.0,27.0
2865.0,92.0,24.0
1980.0,74.0,36.0
2025.0,68.0,37.0
1970.0,68.0,31.0
2125.0,63.0,38.0
2125.0,70.0,36.0
2160.0,88.0,36.0
2205.0,75.0,36.0
2245.0,70.0,34.0
1965.0,67.0,38.0
1965.0,67.0,32.0
1995.0,67.0,38.0
2945.0,110.0,25.0
3015.0,85.0,38.0
2585.0,92.0,26.0
2835.0,112.0,22.0
2665.0,96.0,32.0
2370.0,84.0,36.0
2950.0,90.0,27.0
2790.0,86.0,27.0
2130.0,52.0,44.0
2295.0,84.0,32.0
2625.0,79.0,28.0
2720.0,82.0,31.0
